,사고원인,재발방지대책 및 향후조치계획
8540,철근공사 책임자로서 마무리된 기둥철근을 확인하기 위해 B/T비계 상부에서 철근수직도 점검중 무의식중 미끄러져 중심을 잃고 추락한 것으로 안전난간대 등의 설치가 미흡하였음,추락지점 안전난간대 시설물 설치와 작업자 안전교육 및 현장관리 철저 요청을 통한 건설사고 재발 방지.
3201,비계 통로를 사용하지 않고 뛰어내림,"비계 해체 시 지정된 통로 사용과 작업장 정리정돈 철저, 안전관리 철저 지도에 대한 재발 방지 대책."
16723,2020년 12월 14일 오후 2시 20분경 알폼작업자인 재해자가 1-1구간 4층 3호 세대에서 알폼조립작업을 마치고 말비계에서 내려오는중 발을 잘못 디뎌서 좌측 5족지 중족골 기저부가 골절된 사고임,작업발판 우마의 사용에 따른 안전교육과 외국인 근로자의 불안전 행동 방지를 위한 특별 안전교육 실시.
22888,2019년 8월 12일 14시경  한창이엔씨(철근콘크리트공사업체)  소속 작업자가 알폼 거푸집 설치 후 접이식 말비계(1.2m)에서 내려오다 부주의로 인하여 발이 미끄러져 땅에 부딪침. 떨어진 높이는 90cm정도 이며 부상정도는 늑골골절로 인한 전치 6주예상.,말비계 계단에 논슬립 테이프 설치와 협력업체에 대한 특별교육 실시 및 지속적인 관리와 특별교육 실시.
8093,수직보호망 해체중 비계 발판이 없는것을 인식못하고 작없중 떨어짐,현장 작업자 교육 및 현장대리인을 통한 작업자 재교육 실시와 안전사고 예방을 위한 지속적 관리 요청.
7901,창틀 상부 알루미늄폼 해체작업중 상부 자재가 떨어지며 하부 계단실 입구로 떨어졌고 계단 난간 및 비계파이프에 맞으며 RCS외부로 튕겨 나감,RCS 작업발판 내 수직 보호망 미설치 구간에 안전망 설치 및 RCS 기둥 간 틈새 보강 조치 시행.
13816,cip 철근 가공 후 말뚝으로 사용한 비계파이프 제거하려고 굴삭기 후크에 로프를 걸다가 왼손 엄지손가락 끝부분이  끼어서 골절됨,작업자에게 안전교육을 철저히 실시하는 재발 방지 대책과 산재처리 접수 완료를 포함한 향후 조치 계획.
3068,3층 철근 배근을 위한 시스템비계 설치 중(2층) 발판 위 물기로 인해 미끄러져 안전난간대에 무릎 충돌,"작업 전 비계발판 상태 확인, 비계 설치작업 시 위험사항 안전예지교육, 안전관리 상태 점검 및 조치."
7343,창고 내부 작업중 기존물품 비치로 인한 이동식 비계 설치 제한으로 사다리 이용,"사다리 작업에 대한 안전교육 실시와 안전수칙 준수, 재발 방지 대책 수립 및 철저한 현장 관리 실시."
20296,철거공사 부지내에서 아랫쪽 비계작업을 하던중 위쪽의 철거후 미확인 되었던 잔재물이 다리위로 떨어져 골절부상,작업이 끝난 상부 잔재물의 상시 확인과 기타 사고 재발 방지를 위한 안전교육 및 안전관리 확대 실시.
21881,재해자 뒤에서 비계파이프를 운반하던 작업자가 작업구간이 협소한 관계로 일정거리를 이격하지 않고 가까이 붙어 있다가 재해자가 사고를 당함,관련 사고사례 교육과 근로자 이동통로 정리정돈을 포함한 재발 방지 대책 이행 여부의 수시 점검 실시.
21892,이동식비계 발판 고정핀 선제거후 거푸집해체 작업실시로 인한 발판 붕괴,정기적인 안전교육 실시와 안전난간 및 보호시설 추가 보강을 통한 재발 방지 대책 및 향후 조치 계획.
22085,시스템 비계 설치 작업을 위해 2인1조로 마주보며 횡대(난간대) 를 결속 하던중 접합 결속부 망치 타격근로자가 횡대(난간대) 결속 보조근로자 의 좌5수지 말단부를 타격(망치가 난간대를 빗겨 맞으면서 손가락 타격,시스템 비계설치 작업 시 결속 및 접합부 작업구간 1인작업 실시와 동일 재발 예방을 위한 교육 실시.
22082,비계해체작업시 근로자 부주의에 의한 재해,비계 해체 시 근로자의 위치를 수직이 아닌 계단식으로 여유거리를 확보하여 배치하는 대책과 조치 계획.
14553,바닥방수작업중 시스템비계 상부 1.5m 발판에서 파이프 자재가 떨어져 우측 엄지에 맞아 다침,작업투입 전 안전감시단의 현장 이상 유무 확인과 안전관리 교육 강화를 통한 안전사고 발생 방지 조치.
9283,"자재 운반도중 호이스트 앞 비계파이프가 있었으며,  인지하지 못하고 밟아 발목이 접질린 사고",작업장 주변 정리정돈 실시와 이동통로 확보를 통한 위험요소 제거 및 자재 정리 요청과 안전교육 실시.
7443,"해당 작업자가 업무 외 시간(점심시간휴식) 시간 중 사라졌으며, 2층 비계발판에서 추락한 것으로 추정",상급기관 조사 및 결과처분 수용과 함께 작업자 안전교육 철저 이행을 통한 향후 재발 방지 대책 마련.
22182,작업종료 후 2층바닥에서 1층으로 외부비계 안전계단으로  이동 중 추락,개구부 및 통로 가설안전난간대 설치 보완과 시스템비계 교체 및 안전교육 강화로 인한 재발 방지 대책.
8804,B/T 비계에 설치되어있던 안전난간대를 임의 해체하고 작업을 하려다 발을 헛디뎌 넘어짐,"B/T 비계 안전난간대 임의 해체 금지, 관리감독자의 상주, 휴게시간 작업 금지, 특별안전교육 실시."
10185,배관 설치작업 인원통제 업무 종료 후 이동하는 과정에 비계통로가 좁아지는 구간을 지나가다가 구조물에 발이 걸려 넘어짐,이동통로 내부에 경보 파포린 설치와 근로자 교육 실시 및 교육자료 배포를 통한 재발 방지 대책 마련.
9643,말비계 폭 및 단차 등 인지 못한 상태에서 전도,말비계 승하차시 유의사항 교육 및 TBM을 통한 위험요인 및 대책 전달과 작업자 안전교육 철저 시행.
18506,비계 자재운반도중 추락,유사고 방지를 위한 작업자 안전교육 및 현장 관리 철저와 현장 감독 지시를 포함한 향후 조치 계획.
15402,시스템 비계 착업발판 위 자재 등 잔재물이 없어야 하나 존재했음,시스템 비계 작업 발판 위 자재 및 잔재물 제거와 비래방지용 망 설치를 통한 현장 관리 철저 당부.
4364,2023년 04월 22일(토)  11:00시 경  당 현장 가B/P 뒷편에  방치된 단관비계  및  그물망을 정리하던중  작업자부주의로  뒷편  경사면으로 넘어짐(경사면 높이 약 1.5M),"작업자에 대한 안전교육 철저와 수술 및 입원치료, 전 근로자 대상 산업재해 관련 특별안전교육 실시."
5285,2023년 03월 05일 08:50 경 본관동 지상3층 영빈관 출입구 석재 몰딩작업을 위해 내부비계에서 벽에 고정되어있는 석재와 붙히려는 석재 사이에 오른쪽 새끼손가락이 협착된 사고임.,해당 작업자에 대한 동일 재해 예방 교육과 특별 안전 교육 실시 및 원인 조사 후 현장 적용 계획.
5218,설비공사 철수 중 비계 발 헛디딤으로 인한 재해사고,수시관리감독 강화와 작업투입전 위험작업에 대한 관리감독자 점검 추가실시를 통한 불안전요소 개선조치.
23040,단열재 부착 후 말비계에서 내려오다 몸의 중심을 잃고 넘어지면서 말비계 단부에 가슴부위를 부딪힘,발끝막이판 설치와 안전교육 실시를 통한 재발 방지 대책 및 안전교육 철저를 포함한 향후 조치 계획.
20087,C동(체육관동) 1층 바닥 보 거푸집 해체를 위해 이동식 틀비계 1단에서 작업 후 이동을 위해 내려오던 중 발이 미끄러져 추락,현장 작업자 대상 특별안전교육 실시 및 건설사업관리단 주관 자체 안전점검 실시 후 후속 공종 진행.
2522,휴식을 위하여 외부 시스템 비계 계단을 이용하여 내려가던 중 미끄러짐 발생,현장 근로자 안전관리 교육과 시공사 안전관리 교육의 철저한 이행을 통한 재해 재발 방지 대책 마련.
11049,시스템비계 해치시 하부 통제확인 후 실시하여야 하나 작업원이 해체한 자재 정리를 하기위해 하부에 접근하여 작업중 낙하물이 의한 사고 발생,작업 전 사전교육 철저 및 작업방법 개선과 근로자 전파교육 실시를 통한 동일 사고 발생 방지 대책.
2223,재해자가 압송관을 해체하던 중 작업 미숙으로 손이 미끄러져 압송관과 시스템비계자재 사이에 재해자 손가락이 끼어 골절이 발생되었음.,전 근로자 대상 안전문자 활용 사고사례 전파 및 교육 실시와 중량물 작업 시 2인 1조 작업 시행.
16588,말비계에서 내려오는도중 넘어지면서 오른손을 짚는 과정에서 어깨를 다침,"고소작업시 유의점 교육 및 작업발판 점검, 거푸집 설치 해체시 관리감독자 배치 후 현장 관리 철저."
6473,**건설 석공사 하도급업체 **하우징 작업자가 ‘22.12.14.(수) 7시 40분경 근린생활시설 시스템비계 2단에서 석공사 작업준비 중 다른 작업자가 개방한 시스템비계 바닥 발판이 열려있는 상태인 줄 모르고 이동하다가 한발이 허공으로 빠지면서 상체가 낌,부주의에 의한 사고에 대비한 안전교육 실시와 산업재해보상법에 근거한 업무상 재해로 인한 산재 신청.
15099,옥상 상징탑 보수보강 공사를 위한 아래에서 비계 발판 작업중 아래로 추락함.,근로자 추락 위험장소에 안전대 착용 시 안전대 부착 설비 설치 및 안전 비계발판과 추락방지망 설치.
19546,현장 2층 틀비계에서 내려오다 발이 미끄러져 발뒷굼치 골절 부상 발생,"작업 중 수시 안전점검을 통한 위험요소 파악과 안전조치, 그리고 틀비계 사용에 따른 안전교육 실시."
22445,안전비계발판 설치시 본인이 설치한 발판을 체결하지 않고 발을 헛딛여 낙상,안전 지지목을 촘촘히 설치하고 현장에 안전사고 예방을 위한 조치계획을 제출하는 안전사고 예방 대책.
16724,말비계 승강 중 넘어짐,"작업발판 사용 시연회 및 안전한 사용방법 교육, 근로자 건강상태 수시확인, 작업발판 전수점검 실시."
17053,거푸집 해체 공사중 거푸집이 날아와 피하는 도중 비계에서 뛰어내려 왼쪽 무릎 부상,거푸집 설치 전 박리제 도포 및 작업자 안전교육 실시와 동일 사고 방지를 위한 현장 안전교육 실시.
22101,위 현장 내 7층 이동식 틀비계 위에서 벽돌을 쌓던중 7층 바닥으로 추락함,"사고원인, 현장조치, 향후계획 감리보고 제출통보 및 사고조사와 현장안전조치 완료 후 공사재개 계획."
22127,추락 위험이 있는 이동식틀비계 단부에서 작업 중 부주의에 의한 사고 발생,이동식틀비계 조립방법 변경 및 작업자 재교육과 안전교육 철저 요청을 통한 동일 안전사고 발생 방지.
9618,1층 외부 시스템 비계 설치 작업중 자재를 들고 이동중 넘어짐,작업장 정리정돈 및 근로자 안전교육 철저와 사고발생자 경과 수시 확인을 통한 재발 방지 대책 수립.
15014,말비계 다리의 설치위치 불량,작업 시 감독자 상주 및 작업 상태 점검 실시와 근로자에게 재해 사례 전파 및 주의사항 교육 실시.
3618,2023년05월31일(수)15시경 하이테크알파 비계공 000이 시스템비계정리작업 중 타업체 하이드로크레인이 합판양중 중 합판이 시스템 비계에 걸려 시스템비계가 넘어지면서 안전모를 스치며 이마에 상처를 입음,크레인 작업구간 및 반경 근로자 통제를 철저히 하여 동시작업이 진행되지 않도록 작업 관리하는 방안.
8020,이동식 틀비계 발판 고리 파손,자재 반입 시 자재 검수 후 현장 반입 및 작업자 안전교육 실시와 작업자 안전교육 실시 여부 확인.
5497,비계 위에서 거푸집 해체 작업 중 작업자의 안전불감증으로 인한 거푸집 탈락으로 인해 떨어짐,안전불감증 및 안전수칙 관련 안전교육 실시와 건축관계자에게 안전관리 및 현장관리 철저 지시의 실행.
12529,비계해체 중 추락으로 인한 왼쪽 새끼 발가락 골절(시공사로부터 사고 발생 후 뒤늦게 보고 받아 현재 해당 공정이 끝난 상황으로 자체조사 불가),사고 발생 후 시공사로부터 뒤늦게 보고받아 현재 해당 공정이 끝난 상황으로 인해 자체조사가 불가함.
5396,시스템 비계를 트럭에 적재하던 중 화물차주(사고자)가 적재물 위에서 바닥으로 추락하여 이마와 코에 자상을 입음,적재 작업 시 개인안전보호장구 착용 교육 및 확인과 단독작업 및 고소작업 시 안전조치 확인 철저.
6748,작업 전 시스템비계 수평대와 발판 사이 공간 확인 부족,"근로자 사고사례 전파, 작업방법 및 순서에 대한 안전교육 실시, 위험성 평가 반영 및 교육 실시."
19484,작업발판(말비계) 발디딜 공간을 확인하지 않고 발판 상부에서 이동 중 실족,특별안전교육 실시와 근로자 불안전 행동 금지에 관한 안전교육을 통한 작업발판 안전사고 예방 조치.
19706,"B/T비계 작업시 안전고리 미체결, B/T비계 발판 불량(폭400)설치로 발판틈새 헛딛여 추락","관리감독자의 작업 관리 철저, B/T 비계 작업 시 안전고리 사용, B/T 비계 발판 밀실 설치."
6613,외벽마감을 단열재 설치를 위해 비계발판 위 이동중 발판에 걸려넘어짐(단열재 부피로 인해 시야 확보 미흠),당일 현장 업무 중지와 전체 근로자 안전 교육 실시 및 안전 교육 요청과 철저한 현장 관리 요청.
1146,말비계로 올라가던 도중에 말비계가 흔들려서 떨어짐,작업장소 정리정돈 및 말비계 작업 시 2인 1조 작업 실시를 통한 유사사고 재발 방지 대책 제출.
10035,이동식 틀 비계 설치간 2인 1조로 작업을 하여야 하나 단독작업으로 인한 불안전 행동으로 몸의 중심을 잃고 이동식 틀 비계 1단 발판에서 기계실 바닥으로 뛰어 내리다 골절,이동식 틀 비계 설치 작업 방법 교육 실시와 2인 1조 작업 지시를 통한 안전한 작업 환경 조성.
9493,4명의 작업자로 2단의 조립식비계를 해체 작업 지시발판위의 작업자가 조립식 비계 흔들림에 스스로 뛰어내림,작업 전 위험요소 안전교육 실시와 해체작업 시 현장 상주 관리 감독 준수에 대한 재발 방지 대책.
10180,옥상파라펫에 임시 로프지지대를 설치하고 달비계를 사용하던중 주로프를 작업자가 제대로 고정하지 않아 지지대가 탈락하고 추락과정에서 보조로프가 끊어짐,향후 안전관리와 안전교육을 철저히 하는 계획서를 고용노동부에 제출하여 작업재개 승인을 받는 조치.
1298,2023년10월18일(수)14시40분경 C1상가 비계해체 작업 중 에스티엠 소속 근로자 허원강씨가 발판에 발이걸려 넘어지면서 오른쪽 팔뚝을 횡대에 부딪힘,작업 전 작업구간 정리 및 해체 자재의 즉시 정리정돈과 사고사례 전파 교육을 통한 유사사고 방지.
15178,이동식 비계에서 내려오는 중 발을 헛딛임,비계 설치 및 이동 간 안전교육의 주기적 실시와 시스템 비계의 추가 보강을 통한 재발 방지 대책.
7562,시스템비계 정리작업 중 작업자 부주의로 넘어짐,신규 투입간 안전교육 철저와 동일사고 예방을 위한 현장 근로자 작업장 주변 확인 안전 교육 철저.
14301,"말비계 다리 안전잠금장치가 있으므로, 완전히 두다리가 펼쳐진 것으로 착각하여 틈새에 손가락을 넣고 잡다가 끼임","말비계 끝단부 틈새공간 막음 조치와 자동 고정타입 사용제한, 수동 고정타입 사용권고에 대한 요청."
7702,말비계 사용시 측면 계단을 이용하지 않고 뛰어내림,말비계 사용에 관한 근로자 교육 실시와 지도감독 강화 및 현장 내 불완전 요소에 대한 점검 요청.
18232,작업자가 비계 위에서 거푸집 조립 도중 발을 헛딛여 떨어짐,현장 내 특별안전점검 실시와 특별안전교육 실시를 통한 재발 방지 대책 및 사고자 상태 파악 예정.
18574,이동식 틀비계에서 동료작업자가 작업 중 석자재를 놓친 것을 재해자가 미처 피하지 못해 발생하였음,"이동식 틀비계 작업 전 특별 안전교육 실시와 상하 동시작업 지양, 낙하 방지용 자재 보관함 설치."
12902,시스템 비계 해체 작업중 안전발판 해체 작업시 비계 수직재와 재해자의 손가락 충격 또는 타박,"작업자 보호와 안전 대책 수립, 관련 교육 실시 및 작업자 안전을 최우선으로 하는 안전계획 수립."
16425,잔도 설치 공사를 위한 가설비계 설치작업(안전망 설치) 중 휴식하기 위해서 개인 안전장비 해체 후 이동 중 추락사고,휴식 중에도 안전관리수칙 이행을 위한 안전교육 시행과 사고자의 산재보험 처리 및 안전시설 재정비.
8253,작업시작 전 말비계 포함 공도구 점검 실시 후 작업,특별안전교육 진행과 공도구 주기적 점검 강화를 통한 작업 시작 전 말비계 포함 공도구 점검 실시.
926,외부 비계를 통해 작업 공구 등을 옮기는 과정에서 미끄러져 우측발목 골절,사고사례 전파 및 작업자 안전보호구 착용 강화와 동절기 공사 사고예방을 위한 안전관리 교육 실시.
15371,M10-PR-004 2단 6번 Column에서 배관 설치 작업을 하기 위해 이동 중 비계 발판과 발판 사이의 철골 거더 빔을 넘어 이동하기 위해 뛰어내리는 과정에 비계 발판이 겹쳐져 있는 부분에 착지하며 재해자의 오른쪽 발목을 접질림,근로자 이동통로 확보(경사로 설치)와 TBM 시 작업장소 위험요인 파악 및 조치 후 작업 실시.
8884,거푸집 해체작업 중 유로품에 설치 되어있던 비계파이프를 해체 작업 중 강관비계파이프가 한쪽으로 기움(거푸집 해체순서 미준수),시공작업 중 작업순서 준수 감독과 시공에 앞서 작업순서를 맞춰 실시하도록 안전감독 주문의 통합.
20753,틀비계에서 내려오던중 승하강 시설(발판)에서 미끄러짐,근로자 안전교육 및 관리감독 활동 강화를 통한 안전의식 제고와 안전에 만전을 기하는 조치 계획.
7895,"작업방법의 부적절, 말비계를 올라가지 않고 작업이 가능함 (도구사용)",작업방법에 대한 교육을 통해 근로자가 스스로 무리한 작업을 하지 않도록 하는 철저한 교육 실시.
3046,기준을 준수한 말비계를 사용하였으나 근로자 부주의로 넘어짐 발생,법적기준 대비 안전성이 강화된 말비계로 교체 후 작업 예정인 재발 방지 대책과 향후 조치 계획.
2700,이동식틀비계 해체작업을 위해 이동 중 수직틀비계과 가새 연결부위가 풀리면서 수직틀비계에 왼쪽 다리를 맞음,이동식틀비계의 연결부위를 철선 등으로 보완 작업하여 탈락되지 않은 것을 확인 후 이동하는 조치.
2787,2023년 07월 19일(수)209동 10층 세대 오수 PVC 배관설치후 말비계에서 내려오다 중심을 잃고 넘어지는 과정에서 오른쪽 손으로 바닥을 짚으며 오른쪽 어깨부 탈골발생,말비계 사용 안전수칙 준수 교육 및 근로자 무리한 행동 금지 교육을 통한 재발 방지 대책 마련.
14664,"비계 작업중인 근로자 균형을 잃으면서 추락하면서, 비계가 함께 추락하였고, 추락하는 비계에 하부에 있던 근로자와 충돌 함. 또한 비계설치의 미흡함이 있었음.","근로자들에게 안전교육을 지속적으로 실시하고, 가설에 대한 안전 점검을 주기적으로 시행하는 방안."
12650,비계해체중 비계 발판위에서 미끄러져 약 1.8m 높이에서 아래 지면으로 엉덩이 부분으로 추락하여 허리에 충격이 발생함,안전교육 및 안전장비 설치 철저와 동일한 사고 발생 방지를 위한 안전장치 및 작업자 교육 철저.
13872,B/T 비계 기준대로 설치 및 근로자의 불안정한 행동,B/T 비계 작업 시 작업계획 승인과 지속적인 근로자 교육을 통한 같은 유형의 사고 재발 방지.
357,비계 발판 해체 후 작업자 부주의로 떨어짐,"안전구조물에 대한 임의 해체 및 변형 금지와 안전교육 실시, 작업지시자의 입회 하에 작업 진행."
14021,"2m 높이의 시스템 상부에서 시스템비계 횡대 설치 중 발이 미끄러져 넘어지면서 횡대를 잡았으나, 횡대를 잡은 손에 온몸의 하중이 집중되어 오른쪽 손목 인대 파열 사고 발생",시스템 설치 작업 중 미끄러짐 주의와 작업순서 및 작업방법 교육 철저 및 지속적 관리의 필요성.
995,비계 자재를 인력 운반하여 이동하며 설치,상부 자재 인력 운반 시 여러 명이 이어받아 이동 없이 설치할 수 있도록 작업 방법 교육 실시.
23316,가설 비계파이프 제거중 파이프에 부딪힘.,작업전 안전교육 강화와 건축인허가시 일체형 작업발판 시공 안내 및 권장에 대한 재발 방지 대책.
13798,이동식틀비계를 이용한 작업 중 상부로 수직사다리를 통해 이동 중 발이 미끄러져서 발생한 사고.,이동식틀비계 수직사다리에 논슬립테이프를 부착하여 발이 미끄러지는 재해를 예방하기 위한 행정지도.
115,이동식 틀비계에서 내려오던 중 떨어짐,틀비계 해치발판 및 내부 승강용 사다리 설치와 조치계획 실시 확인을 통한 재발 방지 대책 마련.
4928,비계 이동통로 해치 경첩 고장으로 개방되어 있는 구간에서 추락,"안전발판 누락부분 재설치와 작업자 특별안전교육 실시, 현장점검 및 고령자 작업배치 금지 조치."
14348,비계해체 구역 임의 접근,위험구역 감시인의 유도 교육과 사전 작업내용 공유 회의 실시를 통한 산업재해조사표 제출 완료.
7362,공사 전 작업자가 빈혈을 호소한 정황이 있었음. 아침에 비계 작업발판이 다소 미끄러워 부주의로 인한 추락으로 판단됨.,"공사 전 작업자의 몸상태와 비계 및 작업팔반 상태, 미끄러움에 대한 면밀한 점검과 상시 확인."
7306,도로에서 볼때 우측에서 4번째 기둥의 철근을 조립하는 과정에서 목격자 신**은 수직철근을 바닥에 대고 붙잡고 재해자 최**가 시스템비계 수평부재와 건물 단부의 안전난간에 발을 딛고 서서 수직철근을 결속하던 중 발이 미끄러지면서 시스템비계와 건물사이 틈으로 추락,작업자 안전주의 교육 철저와 사고 작업자 치료완치 후 작업 투입 조치로 동일 사고 발생 방지.
13204,근로자 각립비계(말비계) 작업시 작업자세 불량,작업자들에게 안전수칙을 준수하도록 철저히 주지 및 교육하는 재발 방지 대책과 향후 조치 계획.
4173,콘크리트 타설 작업 중 13층 외부 비계 단부에서 7층 바닥으로 추락하여 병원 이송 후 사망하는 안전사고 발생함,특별 안전점검 후 작업자 교육 및 안전 가시설 보강을 통한 재발 방지 대책과 향후 조치 계획.
5371,"석재 작업을 위해 기존 시스템비계와 벽체간 공간이 넓은 부분이 있어, 작업발판 1개를 추가 설치하는 과정에서 발판 위쪽에서 발판을 놓아주던 동료와 타이밍이 맞지 않아 아래에서 반대쪽 발판 고리를 끼우려던 재해자의 손가락이 시스템 장선과 발판 사이에 끼인 사고",작업자 안전주의 교육 철저와 사고 작업자 치료완치 후 작업 투입 조치로 동일 사고 발생 방지.
19788,스템비계 자재 내리기 작업을 하던 중 상부에서 자재가 내려오는 것을 하부근로자가 인지하지 못하고 자재가 머리에 부딛쳐 찰과상 발생,"시스템비계 해체작업 시 충분한 의사소통과 위험요인 교육 실시, 공사관계자 안전관리 교육 철저."
13772,1층 천정 단열재 보강작업을 위해 틀비계(BT비계)에 올라가던 중 발을 헛디뎌 바닥으로 떨어지면서 오른쪽 어깨와 왼쪽 엉덩이뼈에 금이 가는 부상을 입음,현장 책임자의 작업자 교육 실시와 공사감독의 현장 책임자 교육 실시를 통한 철저한 현장 관리.
9875,"(주)다보건설 미장공 *** 작업자는 2인 1조로 작업중 노출콘크리트 작업을 위한 호스를 들고 시스템 비계에서 이동 중 균형을 잃어 넘어지는 과정에 가설비계의 수직재와 죄측 전완부가 부딪혀 발생한 사고(질병명(임상적 추정) : 아래팔 부위의 기타 손가락의 굴근 및 힘줄의 손상, 기타 및 상세불명의 손상)","작업 현장 정리 정돈, 비계 발판 재점검 및 유사 사고 발생 방지를 위한 안전교육 실시 예정."
22283,시스템비계 작업발판 상부에서 사다리를 이용하지 않고 내려오던 중 2m 가량 추락,"작업자 안전교육 강화, 장비 작업 시 작업 구간에 관리감독자 배치, 안전장비 착용 교육 강화."
9183,못을 박기위해 망치질중 시스템비계의 수직재에 부딪쳐 망치가 튕기면서 왼손손가락에 맞음,근로자 안전교육 실시를 통한 재발 방지 대책 및 향후 같은 사고 발생 방지를 위한 조치 계획.
1533,말비계에서 내려오던 중 주변 장애물 미인지 상태에서 개인 부주의로 인한 불안전한 행동,"사고 예방을 위한 수시 안전 교육 실시와 작업 전, 중, 후의 위험 요인 점검 및 조치 시행."
12645,말비계에 오르는 중 넘어짐,현장 내 근로자 작업발판 사용 시 주의사항에 대한 특별안전교육 실시 및 작업자 안전교육 철저.
13855,아파트 옥상 출입구 캐노피 설치 작업 보조하며 1m높이의 말비계 상부에서 부재를 잡고 있던중 자재가 맞지 않아 말비계에서 내려오던 중 등과 골반에 충격을 받음.,말비계 승하강 시 주의 교육 시행과 전근로자 대상 사고사례 전파를 통한 재발 방지 대책 마련.
15885,비계 해체 작업중 이동사다리 상부 철선 해체 후 전달 부족으로 작업자 사다리 승강중 추락,"위험성평가표 개정, 작업자 특별교육 실시 및 비계 전문가를 통한 작업장 비계 설치 전수 조사."
12769,작업자의 단순과실로 인해 시스템 비계 발판 계단에서 넘어짐,작업 전 안전교육 실시 및 현장 안전관리 상태 점검을 통한 재발 방지 대책과 향후 조치 계획.
21876,시스템비계의 작업발판 미고정,"시스템비계의 작업발판 고정상태 점검, 보강 및 임의설치 발판 해체와 사고사례 전파 교육 실시."
8079,말비계 상부에서 내려오다가 전도되어 왼쪽 팔꿈치 바닥에 부딪힘,말비계 하차 시 한 칸씩 내려오도록 안전교육 실시를 통한 재발 방지 대책 및 향후 조치 계획.
12816,상부 면정리 작업을 마친 후 B/T(이동식틀비계)에서 내려오던중 발을 접지르며 무릎을 다침,작업자의 안전의식 고취와 B/T비계 상하부 이동 시 급하게 이동 금지를 포함한 안전교육 실시.
4571,바닥 비계 넘어짐,작업구간 인동선 확보와 가시설 간섭사항 발생 시 사전 시공 및 안전포함 위험성평가 재 수립.
1509,1층 외벽 작업 위한 시스템비계를 해체 작업도중 1단(높이 약2m) 발판 위에서 자재를 받아 아래로 내리는 중 본인의 부주의로 자재(자키베이스) 에  부딪혀 왼쪽 새끼손가락이 골절,하자 보수기간 동안 관리감독자를 통한 안전교육 실시와 작업 전 작업자 간의 사전 계획 수립.
1842,철골 작업자가 B2F 작업구간에서 틀비계 이용하여 H빔 해체 작업 중 해체한 부재가 떨어지면서 우측 새끼손가락에 맞음,작업 전 작업사항 및 안전조치에 대한 교육 철저와 치료 경과 확인 후 출력 현황 확인 예정.
1743,시스템비계 1단 위에서 작업 중 앉았다가 일어서는 과정에서 순간 어지러움으로 인하여 1단 비계에서 떨어짐,"근로자 정기 건강검진과 재발 방지 교육 실시, 관리 감독 철저를 통한 동일 사고 방지 조치."
1483,말비계 주위 정리가 안된 자재로 인하여 걸려 넘어짐,"작업 구간 정리정돈 실시, 말비계 오르내릴 시 항사 주의 교육, 해당 현장 수시 점검 계획."
22538,비계 파이프를 밟고 작업 중 물기에 의해 미끄러져 하부로 떨어짐,고소 작업 시 안전대 부착설비 확인 및 안전고리 체결 후 작업 실시와 재발 방지 대책 이행.
3341,"비계공 임**, 김** 2인이 러그 자재 정리작업 중 러그와 러그 사이에 임**의 좌측 검지손가락이 끼여 상해 발생",근로자 안전교육 철저 및 작업중 근로감독자 입회와 단순 작업 시 안전 사고 발생 위험 전파.
6491,"비계 해체 시 자재를 바로 이동, 정리하여야 했으나 거푸집에 기대어 놓음",비계 해체 시 자재 즉시 정리를 위한 비계공 해체작업방법 안전교육 및 작업자 안전교육 실시.
16716,가(언제) : 2020년 12월 15일 (화요일) 08시 경나(어디서) : 421동 지하4층 바닥에서다(누가) : 새재건설 소속 비계보조공 *** (만23세 / 한국)라(무엇을) : 비계 해체 작업 후마(어떻게) : 바닥으로 내려와 이동 중바(왜) : 콘크리트 잔재물을 밟고 넘어짐,동절기 작업 전 충분한 스트레칭 실시와 이동통로 구간 정리정돈을 통한 재발 방지 대책 마련.
9528,작업자가 말비계 발판을 놓을때 수평이 아닌 경사지게 설치한 뒤 작업을 하여 전도된 사고,전공정 1일 TBM 시 추락재해 안전교육 실시와 공사 전 안전교육을 통한 작업자 관리 강화.
7783,이동식틀비계에서 케미컬 필터를 상부로 올려주던중 필터의 모서리에 턱이 부딪히며 1cm의 열상 발생.,케미컬 필터 양중 시 모서리 부분에 간섭되지 않도록 올바른 자세와 방법을 숙지한 작업 이행.
7607,폐기물을 마대에 담아 운반하던중 비계의 고리 부분에 우측무릎이 부딪힘.,보행 시 동선 내 장애물 유무 확인 및 서행과 재해사례 교육을 통한 근로자 과실 방지 관리.
12514,옥상 정리정돈 후 시스템비계 계단을 통해 내려오던 중 발을 헛디뎌 발판 아래에 부딪히며 뒤로 넘어짐,개인별 안전수칙 및 안전교육의 철저와 비계 위에서 작업 및 이동 시 주의사항 재교육의 계획.
6984,작업 전 말비계 다리 위치 확인 미흡,TBM 시 말비계 설치 바닥상태 확인 교육과 말비계 작업 전 바닥평탄화 상태 수시확인 관리.
14826,고정되지 않은 상부 구조물에 지탱하여 말비계 하강->상부 구조물 탈락하여 중심을 잃고 넘어짐,재발 방지를 위한 현장 내 사고사례 전파 및 안전교육 실시와 건축관계자 안전관리 철저 요청.
