,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
12244,TRAIN_12244,2021-11-12 오전 10:10,정규작업 -,흐림,4℃,57%,건축 / 건축물 / 근린생활시설,162.10㎡,"지상 2층, 지하 0층",기타,없음,건축 > 금속공사,건설공구 > 사다리,설치작업,근린생활시설 / 외부,사다리 / 하부(아래),이동사다리 지탱중 동료 근로자가 왼손검지손가락을 밟아 검지손가락 골절리 발생한 사고임.,작업전후 안전교육 및 근로자 상태 점검을 통한 재발 방지 대책과 근로복지공단의 산재 여부 조사 후 산재 진행을 포함한 향후 조치 계획.
12245,TRAIN_12245,2021-11-12 오전 09:30,정규작업 -,맑음,5℃,55%,건축 / 건축물 / 공동주택,"329,985㎡","지상 29층, 지하 4층",끼임,낙하,건축 > 철근콘크리트공사,건설자재 > 파이프서포트,정리작업,공동주택 / 외부,파이프서포트 / 바닥,- 근로자 부주의- 파이프 등 자재 적재 및 고정 방법 미흡,"사고사례 전파 등 안전교육 실시, 파이프 적재/보관함 제작 설치, 종류 및 성상별 자재 별도 적재 관리."
12253,TRAIN_12253,2021-11-11 오후 03:10,기타 -,흐림,8℃,57%,건축 / 건축물 / 교육연구시설,542.35㎡,"지상 2층, 지하 0층",넘어짐(미끄러짐),없음,건축 > 건축 토공사,기타 > 기타,이동,교육연구시설 / 인접주변,기타 / 인접대지  구거,인접대지 구거 이동중 미끄러짐,작업자 이동 시 안전 확보를 위한 향후 조치 계획.
12258,TRAIN_12258,2021-11-10 오후 02:40,정규작업 -,맑음,7℃,65%,건축 / 건축물 / 공동주택,"237,942.38㎡","지상 19층, 지하 5층",기타,없음,건축 > 철근콘크리트공사,기타 > 기타,설치작업,공동주택 / 외부,기타 / 앞,단순과실,해당 시공사에 재발 방지 조치 요청 및 해당사항 없음.
12259,TRAIN_12259,2021-11-10 오후 02:20,정규작업 -,맑음,20℃,60%,건축 / 건축물 / 문화 및 집회시설,"18,000㎡","지상 2층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 타일 및 돌공사,건설자재 > 창호,이동,문화 및 집회시설 / 외부,창호 / 바닥,자재에 걸려 넘어짐,자재 적치구간 구획에 대한 철저한 조치 계획.
12260,TRAIN_12260,2021-11-10 오후 02:00,정규작업 -,맑음,8℃,47%,산업환경설비 / 발전시설,-,-,부딪힘,없음,기계설비 > 기계설비공사,건설자재 > 자재,설치작업,/ 내부,자재 / 바닥,로프 결속 불량 및 부적절 로프 사용,"작업방법 개선을 통한 와이어로프로 교체와 체인블럭 및 레버블럭 전수 검사, 산업재해조사표 제출 및 재해예방토론회 실시."
12264,TRAIN_12264,2021-11-09 오후 04:30,정규작업 -,흐림,15℃,40%,건축 / 건축물 / 공동주택,"105,048㎡","지상 42층, 지하 3층",끼임,없음,기계설비 > 기계설비공사,부재 > 배관,설비작업,공동주택 / 외부,배관 / 바닥,"배관가공을 위해 자재 위치 조정 중, 작업자 실수로 풋스위치로 기계를 작동시켜 사고 발생",작업자 단순과실로 인한 재발 방지 대책 및 향후 조치 계획 없음.
12266,TRAIN_12266,2021-11-09 오후 04:00,정규작업 -,맑음,7℃,60%,건축 / 건축물 / 업무시설,"2,283.66㎡","지상 8층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 자재,이동,업무시설 / 내부,자재 / 바닥,적재되어 있는 자재 위를 지나가던 중 발을 헛딛음,자재 적재 시 단일 품목별로 적재하고 이동통로를 확보하며 안전관리를 철저히 통보하는 조치.
12268,TRAIN_12268,2021-11-09 오전 11:30,정규작업 -,강우,12℃,50%,건축 / 건축물 / 공동주택,"52,495.58㎡","지상 36층, 지하 4층",없음,전도,건축 > 철근콘크리트공사,가시설 > 거푸집,설치작업,공동주택 / 외벽,거푸집 / 외벽,돌풍으로 인하여 거푸집을 고정하던 슬링바가 끊어지면서 거푸집이 전도되어 강관비계와 함께 전도되었음,"거푸집 고정을 와이어줄로 견고하게 설치하고, 기존 2개소에서 3개소로 고정하는 재발 방지 대책 및 향후 조치 계획."
12274,TRAIN_12274,2021-11-09 오전 09:00,휴일근무 -,맑음,20℃,35%,토목 / 상하수도 / 하수도,-,-,떨어짐(2미터 이상 ~ 3미터 미만),기타,토목 > 관공사,가시설 > 흙막이가시설,정리작업,하수도 / 인접주변,흙막이가시설 / 상부(위),부적절한 작업방법 및 순서로 진행되어 당 현장 일부구간에 대한 안전시설물 설치상태 미흡으로 인한 추락사고 발생,"작업방법 변경에 따른 인력 양수기 운반에서 장비(백호우)를 이용한 양수기 운반으로의 전환, 관로매설을 위한 터파기 직후 안전시설물 즉시 설치 후 후속작업 실시, 추가적인 안전교육 실시 및 건설사고 발생 우려구간에 대한 안전관리계획 강화, 일주단위 공사계획, 교통 및 안전계획의 보고 및 확인 검토."
12277,TRAIN_12277,2021-11-08 오후 05:00,정규작업 -,강우,16℃,50%,건축 / 건축물 / 업무시설,"127,499㎡","지상 10층, 지하 4층",질병,없음,전기설비 > 전기설비공사,기타 > 기타,설치작업,업무시설 / 내부,기타 / 바닥,무릎관전 연골판 파열,재발 방지 대책과 향후 조치 계획으로 관련 이행절차 실시.
12281,TRAIN_12281,2021-11-08 오전 11:00,정규작업 -,강우,10℃,95%,건축 / 건축물 / 공동주택,"195,650.27㎡","지상 25층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,건설자재 > 자재,해체작업,공동주택 / 102동 1층 필로티,자재 / 바닥,층 거푸집 해체작업 중 해체된 수평연결재를 이동 운반간 전일 우천으로 인해 바닥에 고인 물로 인해 미끄러운 상황에서 해체된 자재를 밟아 미끄러지며 왼쪽 발목이 꺾임,"작업인원 상시 주의 교육, 자재 정리정돈을 통한 통로 확보, 바닥 물고임 제거 후 작업 실시 및 고용노동부 산업재해조사표 제출."
12284,TRAIN_12284,2021-11-06 오후 04:00,휴일근무 -,맑음,21℃,75%,건축 / 건축물 / 공장,"716,779㎡","지상 9층, 지하 1층",넘어짐(기타),없음,기계설비 > 기계설비공사,건설자재 > 덕트,운반작업,공장 / 내부,덕트 / 운반 중,작업자 단순과실,덕트 운반 시 최소 단위로 분절하여 운반하고 사고사례를 전파하는 조치 계획.
12287,TRAIN_12287,2021-11-06 오후 02:35,정규작업 -,맑음,15℃,60%,토목 / 터널 / 철도터널,-,-,끼임,없음,토목 > 철도 및 궤도공사,가시설 > 기타 가시설,청소작업,철도터널 / 외부,기타 가시설 / 바닥,세륜기 롤러위에서 좌측발이 미끄러지면서 롤러사이에 발목이 끼임,세륜기 롤러 주변 출입 금지 조치 실시 후 내부 청소 작업을 고압 살수기로 진행하고 작업 시작 전 작업 사항에 대한 안전 교육 실시.
12292,TRAIN_12292,2021-11-06 오전 10:50,정규작업 -,맑음,14℃,29%,토목 / 터널 / 지하차도,-,-,넘어짐(물체에 걸림),없음,토목 > 철근콘크리트공사,가시설 > 거푸집,조립작업,지하차도 / 내부,거푸집 / 바닥,오산시청지하차도 31BL 이동중 방호벽 거푸집 결속철선에 걸려 전도,철선 식별성을 강화하기 위한 유색 테이프 부착과 근로자 이동통로 구분 설치.
12296,TRAIN_12296,2021-11-06 오전 09:07,정규작업 -,흐림,6℃,85%,건축 / 건축물 / 업무시설,"52,465.17㎡","지상 22층, 지하 7층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,가시설 > 시스템동바리,해체작업,업무시설 / 내부,시스템동바리 / 상부(위),시스템 상부비계 해체 완료 후 하부로 이동 중 미끄러져 착지 시 왼쪽발 뒤꿈치에 하중이 가중되어 골절된 사고임,근로자 재교육을 통한 재발 방지 대책과 향후 조치 계획.
12299,TRAIN_12299,2021-11-05 오후 05:40,정규작업 -,맑음,115℃,65%,건축 / 건축물 / 공동주택,"42,028.18㎡","지상 29층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,가시설 > 지지대,형틀 및 목공,공동주택 / 외부,지지대 / 바닥,작업자의 슬라브 작업도중 알폼슬라브에서 미끄러져 합벽지지대와 충돌,추후 진행경과 및 조치 결과 확인 후 조치 예정.
12303,TRAIN_12303,2021-11-05 오후 03:58,정규작업 -,맑음,23℃,55%,건축 / 건축물 / 근린생활시설,"1,645.41㎡","지상 5층, 지하 0층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 자재,설치작업,근린생활시설 / 내부,자재 / 바닥,건축자재 관리 미흡,건축자재 및 현장 관리 철저와 작업자 완치 후 퇴원 조치에 대한 향후 조치 계획.
12306,TRAIN_12306,2021-11-05 오후 02:30,정규작업 -,맑음,15℃,40%,건축 / 건축물 / 공장,"10,625.83㎡","지상 3층, 지하 0층",떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 가설공사,가시설 > 작업발판,해체작업,공장 / 내부,작업발판 / 상부(위),발판해체 순서 인지부족,구두 상 안내와 재발 방지 안내를 포함한 향후 조치 계획.
12313,TRAIN_12313,2021-11-05 오전 09:00,정규작업 -,흐림,10℃,20%,조경 / 숲,-,-,없음,전도,토목 > 관공사,기타 > 기타,벌목작업,/ 외부,기타 / 상부(위),재해위험수목 제거작업 중 나무 쓰러짐,재해위험수목 정비 완료와 기타 재산피해에 대한 전문걸설공제조합 측의 조사 진행 완료 후 보상 예정.
12316,TRAIN_12316,2021-11-04 오후 05:05,정규작업 -,맑음,8℃,60%,건축 / 건축물 / 운수시설,"2,160㎡","지상 4층, 지하 1층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,가시설 > 작업발판,운반작업,운수시설 / 내부,작업발판 / 지하,자재 이동 중 덮개 불량으로 떨어짐,"개구부 덮개 설치 시 안전성이 확보된 재료를 사용하여 유동이 발생하지 않도록 견고하게 고정하고, 위험공종 작업 전 안전교육을 실시하며, 개구부 등 떨어짐 위험개소에 안전 난간을 설치하는 조치."
12319,TRAIN_12319,2021-11-04 오후 04:20,정규작업 -,흐림,14℃,77%,건축 / 건축물 / 운수시설,858.23㎡,"지상 1층, 지하 0층",물체에 맞음,없음,건축 > 철근콘크리트공사,건설자재 > 자재,정리작업,운수시설 / 바닥,자재 / 못에 맞음,작업자의 불완전한 행동,"전 근로자 보안경 지급 및 안전모 부착, TBM 시 사고사례 전파, 비산물 발생 작업 시 관리감독 강화와 함께 21.11.11일 현장조사 후 사고보고서 작성 및 30일 이내 재해조사표 작성 및 제출 예정."
12321,TRAIN_12321,2021-11-04 오후 04:02,정규작업 -,맑음,19℃,55%,건축 / 건축물 / 근린생활시설,333.05㎡,"지상 4층, 지하 1층",넘어짐(기타),없음,건축 > 건축물 부대공사,건설자재 > 철근,기타,근린생활시설 / 외부,철근 / 바닥,외부 부대공사중 작업차량과 임시 경계표시용 철근사이 50CM공간이 있어 인근 주민 차량 피해 도보하다 바닥 철근 확인 못하여 결러 넘어짐,본현장 준공서류 준비와 연석작업 중 임시 경계 철근 표시용으로 2021.11.04 16시 5분경 철근 제거 및 현장 정리가 완료됨.
12324,TRAIN_12324,2021-11-04 오후 03:00,정규작업 -,맑음,19℃,29%,건축 / 건축물 / 교육연구시설,"29,994㎡","지상 1층, 지하 12층",넘어짐(기타),없음,건축 > 철근콘크리트공사,건설자재 > 자재,정리작업,교육연구시설 / 내부,자재 / 상부(위),"현장정리 불량, 이동통보 확보 불량",작업장 내 해체된 자재와 작업 전후의 즉시 정리 정돈 및 이동 통로 확보.
12326,TRAIN_12326,2021-11-04 오후 02:30,정규작업 -,흐림,13℃,0%,건축 / 건축물 / 업무시설,"120,026㎡","지상 10층, 지하 5층",넘어짐(미끄러짐),없음,건축 > 가설공사,가시설 > 비계,마감작업,업무시설 / 내부,비계 / 4구간 7층 벽체,말비계 작업시 젖은 상태의 자재를 사용하여 미끄러워진 상태에서 내려오다 접질린 사고임.,미끄럼 방지용 논슬립 설치 및 교육과 말비계 사용교육 실시를 통한 재발 방지 대책 마련.
12327,TRAIN_12327,2021-11-04 오후 02:05,정규작업 -,맑음,22℃,30%,토목 / 상하수도 / 상수도,-,-,"절단, 베임",없음,토목 > 가설공사,가시설 > 흙막이가시설,설치작업,상수도 / 내부,흙막이가시설 / 바닥,11월 4일 16시 15분경 강관 추진을 위한 발진기지 가시설 작업중 H-PILE을 항타하기 위한 가이드 빔 설치 중 신호수가와 장비기사의  신호가  맞지않아 왼쪽 정강이 부위에 약 9Cm 정도 피부가 상처를 입어  119에 신고 후 마산 내서읍 소재 청아병원으로 측시 후송하여 치료중에 있음,신호수와 장비기사의 신호 체계 명확화에 따른 재발 방지.
12328,TRAIN_12328,2021-11-04 오후 02:00,정규작업 -,맑음,12℃,70%,건축 / 건축물 / 창고시설,"28,305㎡","지상 3층, 지하 0층",끼임,없음,건축 > 철근콘크리트공사,건설자재 > 자재,해체작업,창고시설 / 내부,자재 / 상부(위),"인근 거푸집 탈락,해체작업진행에 대한 재해자의 미인지상태 및 작업자간 의사소통 부재","해체작업 시 작업순서 및 방법에 대한 교육, 작업장소 주변의 동시작업 진행 여부에 대한 사전 계획 및 순서에 따른 작업 실시, 보호구 착용 및 불안전 행동 사고 사례에 대한 안전교육 강화, 그리고 거푸집 해체 작업 전 주변 동시작업 진행 유무 및 간섭에 대한 안전사고 발생 위험성 평가 실시와 작업 전 교육 강화 조치."
12334,TRAIN_12334,2021-11-04 오전 11:05,정규작업 -,흐림,16℃,70%,건축 / 건축물 / 업무시설,"27,174.67㎡","지상 20층, 지하 7층",끼임,없음,토목 > 가설공사,가시설 > 흙막이가시설,준비작업,업무시설 / 내부,흙막이가시설 / 바닥,암파쇄 바닥의 고르지 못한 지면에 적재된 H-Beam이 무너지면서  재해자의 왼쪽 발목이 끼어 골절이 발생,자재 적재 시 적재면을 평탄하게 정리하고 받침목을 깔며 흔들림 없이 균형을 잡고 2단 이상 적재하지 않는 방안.
12341,TRAIN_12341,2021-11-04 오전 08:30,정규작업 -,맑음,8℃,60%,건축 / 건축물 / 근린생활시설,"1,669.64㎡","지상 4층, 지하 0층",끼임,없음,건축 > 조적공사,건설자재 > 자재,쌓기작업,근린생활시설 / 내부,자재 / 벽돌이 무너짐,작업중 벽돌 무너짐에 의한 사고,"조적공사 시 적정 높이로 벽돌을 쌓고, 자재 정리 작업 중 발생하는 안전사고에 대한 사전 교육 및 작업 시 자재의 형상, 무게, 주변 환경을 고려한 감독."
12343,TRAIN_12343,2021-11-04 오전 07:45,정규작업 -,흐림,13℃,50%,건축 / 건축물 / 공동주택,"231,275.47㎡","지상 29층, 지하 2층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,가시설 > 거푸집,해체작업,공동주택 / 내부,거푸집 / 지하,거푸집 해체 작업을 위해ㅐ 우측 거푸집에 안전벨트 고리 체결 후 좌측 거푸집 해체 작업 중 고리를 체결한 우측 거푸집이 탈락되면서 거푸집 무게를 못 견디고 낙하,안전고리를 작업발판 설치 시 2개소 이상 고정하는 재발 방지 대책과 향후 조치 계획.
12346,TRAIN_12346,2021-11-03 오후 03:29,정규작업 -,맑음,16℃,54%,건축 / 건축물 / 창고시설,240㎡,"지상 1층, 지하 0층",떨어짐(2미터 미만),없음,건축 > 해체 및 철거공사,기타 > 기타,고소작업,창고시설 / 외부,기타 / 고소,안전 로프를 걸수 있는 난간대(로프줄) 설치 미흡(사람이 떨어질 경우 견질수 있는 강도 불충분) / 작업자 안전 로프 고리 설치간 낙상사고 발생,고가작업간 지붕 슬에리트 철거 시 낙상사고 방지를 위한 하단부 그물방 설치.
12352,TRAIN_12352,2021-11-03 오전 08:56,정규작업 -,맑음,18℃,50%,건축 / 건축물 / 교육연구시설,"4,708㎡","지상 3층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 조적공사,기타 > 기타,운반작업,교육연구시설 / 내부,기타 / 바닥,현장주변 정리 미흡에 따른 자재운반중 걸려 넘어짐,각 공정의 현장 주변 정리 철저와 폐기물 당일 반출 실시
12356,TRAIN_12356,2021-11-02 오후 05:00,정규작업 -,맑음,15℃,40%,건축 / 건축물 / 공동주택,"66,105㎡","지상 15층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 도장공사,토사 및 암반 > 지반,마감작업,공동주택 / 외부,지반 / 고소,석재 뿜칠 손보기 작업도중 고르지못한 지면에 의해 넘어지면서 외쪽 팔꿈치를 바닥에 부딪쳐 팔꿈치부위 미세골절 발생,지면 평탄화작업 및 미끄럼 유발 자재 즉시제거.
12360,TRAIN_12360,2021-11-02 오후 02:40,정규작업 -,맑음,20℃,40%,건축 / 건축물 / 창고시설,"148,573.41㎡","지상 10층, 지하 1층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 시스템동바리,양생작업,창고시설 / 내부,시스템동바리 / 하부(아래),"시스템 동바리 설치작업 중 동바리설치공이 수평재 설치를 위해 이동 중 착용하고 있던 안전죔줄이 멍에( L=1M, 9kg) 끝단에 걸리며 낙하, 낙하된  멍에재가 시스템 동바리 최하단 수평재에 맞고 튕기면서 하부에서 작업발판설치 준비작업 중이던 근로자의 안면부를 타격함","시스템 동바리 설치 메뉴얼 개선, 추락 방호망 설치, 유사 사고 재발 방지 교육, 작업 지휘자 추가 배치."
12370,TRAIN_12370,2021-11-02 오전 10:30,정규작업 -,맑음,13℃,28%,토목 / 상하수도 / 하수도,-,-,부딪힘,없음,토목 > 가설공사,가시설 > 시스템동바리,형틀 및 목공,하수도 / 내부,시스템동바리 / 하부(아래),2021년 11월 02일 작업자가 생물반응조 B구간에서 동바리 설치 작업 중 단독작업으로 인하여 주변 자재와 충돌하여 발생한 사고임.,"작업 전 동바리 설치 및 해체 방법 교육, 중량물 취급 작업계획서 사전 작성 및 검토, 중량물 작업 전 2인 1조 작업 교육 실시와 근로자 작업 투입 전 시공사 교육 내용 확인, 중량물 작업계획서 작성 상태 점검, 공정별 시공순서 및 시공방법 적절성 확인 및 검토."
12373,TRAIN_12373,2021-11-01 오후 04:30,정규작업 -,흐림,16℃,59%,건축 / 건축물 / 공동주택,"12,798.30㎡","지상 27층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 데크플레이트,양중작업,공동주택 / 외부,데크플레이트 / 상부(위),철근 양중작업 후 데크플레이트 상부에서 작업자가 바닥상태를 확인하지 않고 이동하는 불안전한 행동 발생,"양중 작업 시 작업자 이동구간 발판 설치로 발빠짐 방지, 데크 상부 이동간 지정된 안전통로 사용 및 작업 간섭으로 인한 안전통로 해체 후 이동 시 각별한 주의, 작업구간 안전통로 확보 철저 및 불안전한 행동 차단을 위한 소단위 TBM 강화."
12374,TRAIN_12374,2021-11-01 오후 04:10,정규작업 -,맑음,6℃,60%,토목 / 하천 / 관개수로,-,-,찔림,없음,토목 > 하천공사,건설자재 > 철근,타설작업,관개수로 / 내부,철근 / 바닥,철근 끝단부 보호조치 미흡,"철근의 끝단부에 보호캡 설치와 철근 배근 상부에 작업발판 설치를 통한 안전한 통행 조치, 피재자의 진료상황 확인 및 현장 안전사고 예방교육과 안전관리 활동 점검."
12377,TRAIN_12377,2021-11-01 오후 03:00,정규작업 -,맑음,15℃,50%,산업환경설비 / 산업생산시설 / 석유화학공장,-,-,떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 건축 토공사,기타 > 기타,이동,석유화학공장 / 내부,기타 / 상부(위),실험실 3층 복도 천정 내부로 진입하여 덕트 관통부 마감처리 작업 후 점검구를 통해 내려오기 위해 이동 중 점검구 1m 전방에서 미끄러져(추정) M-bar를 밟으면서 천정 (석고보드)이 무너져 높이 2.7m 하부 바닥으로 천정과 함께 추락,작업시작 전 천정 내부 캐링찬넬 고정볼트 체결상태 확인 및 이동통로 확보와 준수사항 교육 실시.
12397,TRAIN_12397,2021-10-30 오후 03:30,정규작업 -,맑음,18℃,75%,건축 / 건축물 / 공동주택,"14,430.12㎡","지상 18층, 지하 3층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 거푸집,해체작업,공동주택 / 내부,거푸집 / 하부(아래),유로폼 해체 중 부주의로 인한 물체 낙하,1인 작업 지양과 어두운 곳에 램프 및 전구 구비.
12400,TRAIN_12400,2021-10-30 오후 02:14,정규작업 -,맑음,15℃,65%,건축 / 건축물 / 공동주택,"100,531㎡","지상 22층, 지하 3층",물체에 맞음,없음,건축 > 철근콘크리트공사,건설자재 > 파이프서포트,운반작업,공동주택 / 내부,파이프서포트 / 바닥,각파이프 전달 받는 과정에서 신호 미흡으로 놓혀 맞음,자재 받아치기 및 전달 운반 시 신호체계 교육 실시.
12403,TRAIN_12403,2021-10-30 오전 11:06,정규작업 -,맑음,33℃,67%,건축 / 건축물 / 업무시설,"1,474㎡","지상 4층, 지하 3층",넘어짐(기타),없음,건축 > 수장공사,가시설 > 작업발판,설치작업,업무시설 / 내부,작업발판 / 고소,당 현장[성남농협 대왕지점 신축공사] 2021년 10월 30일(토)오후 3시 10분경 외벽 단열재(PF보드) 부착 작업 중 외부 시스템비계승강통로 여닫이 덮개 발판을 닫지 않아 단열재 부착작업 중 왼쪽발이 실족(빠지다) 되면서 좌측 제 10번 늑골(갈비뼈)이 골절되는재해가 발생 됨.,외부 비계작업 시 추락 및 전도(실족)재해 예방을 위한 안전보건교육 실시와 비계 수직 숭강통로 여닫이 발판 덮개에 대한 안전점검 및 개폐여부 확인.
12412,TRAIN_12412,2021-10-29 오후 06:54,정규작업 -,맑음,15℃,45%,건축 / 건축물 / 근린생활시설,"4,975.78㎡","지상 7층, 지하 2층",떨어짐(2미터 미만),없음,건축 > 수장공사,가시설 > 작업발판,설치작업,근린생활시설 / 외부,작업발판 / 고소,아시바가 부러지며 작업발판과 함꼐 추락한 사고,"가설자재의 녹슬음, 노후, 연결불량 점검 및 조치"
12414,TRAIN_12414,2021-10-29 오후 05:19,정규작업 -,맑음,32℃,20%,건축 / 건축물 / 문화 및 집회시설,"2,179㎡","지상 4층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,건설자재 > 자재,형틀 및 목공,문화 및 집회시설 / 내부,자재 / 바닥,현장 정리 미비로 인한 미끄러짐,"현장 정리정돈 및 통로 확보, 조명기구 설치를 통한 조도 확보와 주기적인 안전점검 및 현장 정리정돈 관리."
12417,TRAIN_12417,2021-10-29 오후 04:30,정규작업 -,맑음,20℃,43%,토목 / 상하수도 / 하수도,-,-,"절단, 베임",없음,기타 > 기타,건설공구 > 공구류,절단작업,하수도 / 외부,공구류 / 하부(아래),U형측구 절단 작업 시 핸드그라인더 절단 방향을 근로자 신체 반대 방향으로 절단하지 않고 신체 방향으로 절단하여 사고가 발생함,"절단 작업 시 핸드그라인더 절단 방향을 근로자 신체 반대 방향으로 관리하고 근로자 다리부위 방호커버 설치 및 교육을 실시하며, 핸드그라인더 작업자 개인보호구 착용 및 보호용 커버 설치 확인을 포함한 조치 계획."
12423,TRAIN_12423,2021-10-29 오후 02:00,정규작업 -,맑음,17℃,40%,건축 / 건축물 / 공동주택,117㎡,"지상 35층, 지하 4층",넘어짐(물체에 걸림),없음,건축 > 가설공사,기타 > 기타,설치작업,공동주택 / 내부,기타 / 상부(위),이동중 바닥 철근에 걸려 넘어짐,작업장 보행자 이동통로 확보와 정리정돈을 통한 향후 조치 계획.
12425,TRAIN_12425,2021-10-29 오후 01:25,정규작업 -,맑음,20℃,60%,건축 / 건축물 / 업무시설,"80,700㎡","지상 25층, 지하 3층",떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 철근콘크리트공사,건설자재 > 자재,운반작업,업무시설 / 외부,자재 / 고소,"2021년 10월 28일 13시 25분경 104동 3층 TG보 구간에서 재해자 형틀공 동**씨가 T/C를 이용한 단열재 다발을 하역운반 중 돌풍이 불어, 단열재 다발에 밀리면서, TG보 상부에서 하부로 높이 2M에서 떨어짐",공사중지 명령과 함께 2021년 11월 2일까지 재발 방지 대책 제출 지시.
12435,TRAIN_12435,2021-10-29 오전 07:55,정규작업 -,맑음,14℃,60%,건축 / 건축물 / 공장,"539,159㎡","지상 9층, 지하 1층",끼임,없음,건축 > 금속공사,기타 > 기타,기타,공장 / 평택 P3복합동 8층 C/3열,기타 / 앙카와 바닥사이,지정공구를 사용하지 않고 짧은 앙카를 사용하던 중 손가락 끼임,스텐딩렉 설치 중 볼트 미세조정 작업 시 지정공구 사용과 작업구간 인근에 지정공구 상시 배치 및 일일 TBM 교육 실시를 통한 재발 방지 대책과 사고사례 전파 요청.
12442,TRAIN_12442,2021-10-28 오후 02:00,정규작업 -,맑음,18℃,30%,산업환경설비 / 발전시설,-,-,넘어짐(기타),없음,산업설비 > 가설공사,가시설 > 기타 가시설,해체작업,/ 외부,기타 가시설 / 바닥,가배관 볼팅 해체 작업중 무리한 동작으로 인해 몸의 중심을 잃고 넘어짐.,작업전 적합한 작업계획 수립 및 이행여부 확인을 통한 볼팅 해체 작업의 안전성 확보.
12443,TRAIN_12443,2021-10-28 오후 01:42,정규작업 -,맑음,194℃,35%,건축 / 건축물 / 공동주택,"145,560㎡","지상 29층, 지하 3층",넘어짐(물체에 걸림),없음,건축 > 타일 및 돌공사,토사 및 암반 > 지반,정리작업,공동주택 / 외부,지반 / 바닥,"1. 이동통로 내, 돌부리 제거 미흡2. 근로자의 자재 운반 방법 불량 (뒷로 돌아서 운반)3. 이동전, 운반로 상태 확인 미흡","이동통로 주변 토사 정리 및 간섭물 제거, 근로자 작업방법 안전교육 실시와 함께 근로자 통행로 및 자재 이동로 확보사항 확인을 통한 동일한 사고 발생 방지."
12444,TRAIN_12444,2021-10-28 오전 11:30,정규작업 -,맑음,10℃,45%,건축 / 건축물 / 창고시설,673.73㎡,"지상 1층, 지하 0층",기타,없음,건축 > 해체 및 철거공사,기타 > 기타,운반작업,창고시설 / 인접주변,기타 / 바닥,"앉은상태에서 쓰레기를 들고 일어서야 하나, 다리를 펴고 허리를 굽힌 상태에서 쓰레기를 들어 허리에 통증을 느낌","작업 시 근육 이완을 위한 충분한 준비 운동 후 하중을 고려하여 운반하며, 해당 공사는 이미 준공된 사항으로 별도 조치 계획이 없고, 타 건설 공사에 대해 안전 점검이 실시될 예정인 상황."
12452,TRAIN_12452,2021-10-27 오후 02:35,정규작업 -,맑음,20℃,33%,건축 / 건축물 / 공동주택,"62,827㎡","지상 28층, 지하 2층",떨어짐(2미터 미만),없음,건축 > 가설공사,가시설 > 흙막이가시설,해체작업,공동주택 / 외부,흙막이가시설 / 상부(위),현장 내 합벽 지지대 위에서 작업자가 어스앵커 강선 제거 작업을 하던 도중 작업발판의 고정상태 미흡으로 인해 딛게 된 작업발판이 이탈하여 추락함,"유공발판을 포함한 모든 작업발판의 설치상태 재확인과 현장 순찰 시 발판 수시점검 실시, 작업계획서 작성 및 작업 전 발판 고정 상태 확인 지시."
12457,TRAIN_12457,2021-10-27 오전 09:30,정규작업 -,맑음,18℃,50%,건축 / 건축물 / 공동주택,"181,432.50㎡","지상 29층, 지하 4층",부딪힘,없음,건축 > 해체 및 철거공사,건설자재 > 자재,이동,공동주택 / 내부,자재 / 바닥,자재를 옮기던중 좌측 새끼손가락꺽임,해체정리시 올바른 자재 받기 교육 실시.
12459,TRAIN_12459,2021-10-27 오전 08:50,정규작업 -,맑음,15℃,55%,토목 / 상하수도 / 상수도,-,-,떨어짐(2미터 미만),없음,토목 > 강구조물공사,건설자재 > 자재,정리작업,상수도 / 외부,자재 / 상부(위),돌풍으로 슬링벨트가 흔들리면서 이를 피하려다 1.6m 높이에서 추락,자재 높이 1.2m 이하로 작업하고 발판 설치 후 작업하는 방안.
